100, -1018.9, 0.0
200, -1018.7, 0.0
300, -1017.9, 0.0
400, -1014.7, 0.0
500, -1017.1, 0.0
600, -1020.5, 0.0
700, -1019.4, 0.0
800, -998.5, 1.0
900, -1019.7, 0.0
1000, -1023.4, 0.0
1100, -1002.6, 1.0
1200, -997.8, 1.0
1300, -1025.8, 0.0
1400, -1026.4, 0.0
1500, -1021.9, 0.0
1600, -1003.7, 1.0
1700, -1007.5, 1.0
1800, -990.0, 2.0
1900, -1016.8, 1.0
2000, -965.0, 4.0
2100, -901.9, 8.0
2200, -805.5, 14.0
2300, -616.2, 23.0
2400, -769.1, 16.0
2500, -530.7, 27.0
2600, -560.5, 26.0
2700, -549.3, 27.0
2800, -611.8, 23.0
2900, -500.3, 28.0
3000, -499.8, 28.0
3100, -567.3, 25.0
3200, -519.5, 27.0
3300, -601.0, 23.0
3400, -303.2, 38.0
3500, -320.0, 37.0
3600, -457.3, 30.0
3700, -471.4, 29.0
3800, -447.2, 30.0
3900, -223.3, 41.0
4000, -322.1, 36.0
4100, -82.3, 48.0
4200, -367.7, 34.0
4300, -261.3, 39.0
4400, -390.6, 33.0
4500, -142.0, 45.0
4600, -467.2, 29.0
4700, 38.3, 54.0
4800, 85.8, 56.0
4900, -44.3, 50.0
5000, -122.2, 46.0
5100, -333.1, 36.0
5200, 63.6, 55.0
5300, -35.6, 50.0
5400, -56.9, 49.0
5500, -81.5, 48.0
5600, -200.9, 42.0
5700, -82.7, 48.0
5800, -204.8, 42.0
5900, -207.2, 42.0
6000, -178.2, 43.0
6100, -205.2, 42.0
6200, -55.3, 49.0
6300, -181.6, 43.0
6400, -194.7, 42.0
6500, -120.5, 46.0
6600, -286.1, 38.0
6700, -84.2, 49.0
6800, -222.9, 41.0
6900, -120.3, 46.0
7000, 3.4, 52.0
7100, -103.0, 47.0
7200, 106.8, 57.0
7300, 20.2, 53.0
7400, -248.8, 40.0
7500, -118.5, 46.0
7600, -80.3, 48.0
7700, 66.7, 55.0
7800, 1.3, 52.0
7900, -84.6, 48.0
8000, 7.7, 52.0
8100, -266.2, 39.0
8200, -207.8, 42.0
8300, -242.8, 40.0
8400, -141.3, 45.0
8500, -227.7, 41.0
8600, -97.5, 47.0
8700, -68.7, 50.0
8800, -267.3, 39.0
8900, -39.3, 50.0
9000, -78.8, 48.0
9100, 48.1, 54.0
9200, 250.7, 64.0
9300, 25.2, 53.0
9400, -122.5, 46.0
9500, -183.8, 43.0
9600, 25.4, 53.0
9700, 60.4, 55.0
9800, -74.3, 48.0
9900, 60.4, 55.0
10000, 27.4, 53.0
10100, -38.3, 50.0
10200, 78.4, 56.0
10300, 4.1, 52.0
10400, -31.4, 50.0
10500, 21.4, 53.0
10600, -85.9, 48.0
10700, -56.5, 49.0
10800, -183.0, 43.0
10900, 167.8, 60.0
11000, 99.4, 58.0
11100, -268.4, 39.0
11200, 183.3, 61.0
11300, 169.1, 60.0
11400, -122.3, 46.0
11500, 45.0, 54.0
11600, -123.0, 46.0
11700, -21.7, 51.0
11800, 192.3, 61.0
11900, 44.3, 54.0
12000, 101.3, 57.0
12100, -82.9, 48.0
12200, -51.4, 49.0
12300, -98.5, 47.0
12400, 205.4, 62.0
12500, 230.2, 63.0
12600, 137.6, 59.0
12700, 2.8, 52.0
12800, -2.4, 52.0
12900, -95.5, 47.0
13000, 102.5, 57.0
13100, -18.7, 51.0
13200, -96.1, 47.0
13300, -182.7, 43.0
13400, 268.7, 65.0
13500, 67.1, 55.0
13600, 63.1, 55.0
13700, -49.7, 49.0
13800, -36.7, 50.0
13900, -52.9, 49.0
14000, 45.3, 54.0
14100, -245.0, 40.0
14200, 186.0, 61.0
14300, -98.5, 47.0
14400, -97.0, 47.0
14500, 182.7, 61.0
14600, 167.8, 60.0
14700, 107.7, 57.0
14800, -17.4, 51.0
14900, 5.1, 52.0
15000, 248.7, 64.0
15100, -79.4, 48.0
15200, 64.7, 55.0
15300, -66.0, 49.0
15400, -135.8, 45.0
15500, -77.4, 48.0
15600, 276.4, 65.0
15700, 147.7, 59.0
15800, 88.7, 56.0
15900, 79.5, 56.0
16000, 92.3, 56.0
16100, -85.7, 48.0
16200, 23.8, 53.0
16300, 6.7, 52.0
16400, 23.1, 53.0
16500, -40.5, 50.0
16600, 26.0, 53.0
16700, -302.5, 37.0
16800, 100.8, 57.0
16900, 310.0, 67.0
17000, 123.2, 59.0
17100, -97.5, 47.0
17200, 33.9, 54.0
17300, 121.7, 58.0
17400, 36.8, 54.0
17500, 210.0, 62.0
17600, -13.5, 52.0
17700, 62.1, 55.0
17800, -11.7, 51.0
17900, 76.5, 56.0
18000, 20.9, 53.0
18100, -309.2, 37.0
18200, 101.0, 57.0
18300, 0.1, 52.0
18400, -176.3, 43.0
18500, -43.7, 50.0
18600, 42.9, 54.0
18700, -163.8, 44.0
18800, -78.2, 48.0
18900, -59.3, 49.0
19000, 65.6, 55.0
19100, 26.7, 53.0
19200, -267.8, 39.0
19300, -42.0, 50.0
19400, -45.2, 50.0
19500, 125.0, 58.0
19600, -60.4, 49.0
19700, -105.0, 47.0
19800, -164.8, 44.0
19900, -37.0, 50.0
20000, -82.9, 48.0
20100, 93.8, 57.0
20200, -104.3, 47.0
20300, 136.5, 59.0
20400, 27.2, 53.0
20500, 169.3, 61.0
20600, -58.0, 50.0
20700, -41.9, 50.0
20800, -262.0, 39.0
20900, 185.9, 61.0
21000, 247.0, 64.0
21100, 146.3, 59.0
21200, -14.6, 51.0
21300, 56.6, 55.0
21400, 289.0, 66.0
21500, -253.1, 41.0
21600, -40.1, 50.0
21700, 99.8, 57.0
21800, 163.7, 60.0
21900, -53.6, 49.0
22000, 60.4, 55.0
22100, -3.2, 52.0
22200, -88.6, 48.0
22300, 120.8, 58.0
22400, -15.6, 51.0
22500, 20.0, 53.0
22600, -46.2, 50.0
22700, -168.6, 44.0
22800, 38.3, 54.0
22900, -101.3, 47.0
23000, 239.9, 64.0
23100, 101.1, 57.0
23200, -22.6, 51.0
23300, 59.0, 55.0
23400, -43.8, 50.0
23500, 19.5, 53.0
23600, 21.6, 53.0
23700, 147.3, 59.0
23800, -15.2, 51.0
23900, -54.5, 49.0
24000, 106.8, 57.0
24100, 27.0, 53.0
24200, 65.4, 55.0
24300, 62.0, 55.0
24400, 41.7, 54.0
24500, 34.8, 54.0
24600, -14.6, 51.0
24700, -263.4, 39.0
24800, 62.3, 55.0
24900, 231.3, 63.0
25000, 166.5, 60.0
25100, 23.1, 53.0
25200, 8.0, 53.0
25300, -7.3, 52.0
25400, 143.6, 59.0
25500, -33.0, 50.0
25600, 80.0, 56.0
25700, 84.8, 56.0
25800, -36.2, 50.0
25900, -141.1, 45.0
26000, 103.4, 57.0
26100, 248.9, 64.0
26200, 205.6, 62.0
26300, 165.7, 60.0
26400, -77.7, 48.0
26500, 23.4, 53.0
26600, 158.4, 60.0
26700, -54.3, 49.0
26800, -51.6, 49.0
26900, -139.8, 45.0
27000, 106.5, 57.0
27100, -121.3, 46.0
27200, -94.0, 47.0
27300, -85.6, 48.0
27400, 29.9, 53.0
27500, -165.9, 44.0
27600, 82.2, 56.0
27700, -56.4, 49.0
27800, -134.7, 45.0
27900, -300.4, 37.0
28000, 58.6, 55.0
28100, -35.1, 50.0
28200, -199.1, 42.0
28300, 109.3, 57.0
28400, -125.4, 46.0
28500, 104.6, 57.0
28600, 62.8, 55.0
28700, 142.7, 60.0
28800, -141.2, 45.0
28900, 41.4, 54.0
29000, 87.3, 57.0
29100, -21.7, 51.0
29200, 56.4, 55.0
29300, 61.3, 55.0
29400, -250.3, 40.0
29500, -28.5, 50.0
29600, 131.7, 58.0
29700, -79.8, 48.0
29800, -121.2, 46.0
29900, 127.8, 58.0
30000, -203.6, 42.0
