200		-1016.1	0
400		-1019	0
600		-1019.1	0
800		-1016.5	0
1000	-1019.1	0
1200	-1019.5	0
1400	-1018.9	0
1600	-1019.7	0
1800	-1011	0.5
2000	-1018.5	0
2200	-1019	0
2400	-1019.9	0
2600	-1014.1	0.5
2800	-1013.1	0.5
3000	-1025.3	0
3200	-1014.3	0.5
3400	-1020.1	0.5
3600	-1017.5	1
3800	-1013.6	1.5
4000	-993.5	2.5
4200	-886	8.5
4400	-780	14
4600	-380.1	34
4800	-117.3	46.5
5000	-120.6	46
5200	-18	51
5400	96.2	56.5
5600	21.8	53
5800	64.3	55
6000	-78.1	48
6200	94.1	56.5
6400	30.9	53.5
6600	-34.9	50.5
6800	-111.5	46.5
7000	42.6	54
7200	-52.9	49
7400	-49.8	49.5
7600	54.1	55.5
7800	-22	51
8000	63.7	55
8200	-9.4	51.5
8400	93.1	56.5
8600	-10.6	51.5
8800	-61.2	49
9000	30.9	53.5
